layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
1,conv1.0,Conv2d,"Conv2d(3, 24, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), bias=False)",1x3x224x224,1x24x112x112,648,648,3,24,3x3,2x2,1x1,1x1,1,False,100,1.105189,0.037781,1.048669,1.237578,1.087653,1.165306,0,0,1777375764.2487001
2,conv1.1,BatchNorm2d,"BatchNorm2d(24, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x24x112x112,1x24x112x112,48,48,,,,,,,,True,100,0.475687,0.027073,0.450582,0.578606,0.464958,0.540546,0,0,1777375764.2493007
3,conv1.2,ReLU,ReLU(inplace=True),1x24x112x112,1x24x112x112,0,0,,,,,,,,False,100,0.283745,0.035967,0.243912,0.407821,0.265943,0.350617,0,0,1777375764.2497008
4,maxpool,MaxPool2d,"MaxPool2d(kernel_size=3, stride=2, padding=1, dilation=1, ceil_mode=False)",1x24x112x112,1x24x56x56,0,0,,,3,2,1,1,,False,100,0.707286,0.01807,0.68715,0.776944,0.702723,0.753347,0,0,1777375764.2505343
5,stage2.0.branch1.0,Conv2d,"Conv2d(24, 24, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=24, bias=False)",1x24x56x56,1x24x28x28,216,216,24,24,3x3,2x2,1x1,1x1,24,False,100,0.341128,0.031467,0.309694,0.460427,0.325658,0.396183,0,0,1777375764.2510672
6,stage2.0.branch1.1,BatchNorm2d,"BatchNorm2d(24, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x24x28x28,1x24x28x28,48,48,,,,,,,,True,100,0.399603,0.033759,0.363705,0.48949,0.380816,0.472672,0,0,1777375764.2515495
7,stage2.0.branch1.2,Conv2d,"Conv2d(24, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x24x28x28,1x58x28x28,1392,1392,24,58,1x1,1x1,0x0,1x1,1,False,100,0.499008,0.034082,0.457041,0.599544,0.486912,0.564111,0,0,1777375764.2522817
8,stage2.0.branch1.3,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.404089,0.045923,0.356466,0.635691,0.391414,0.484166,0,0,1777375764.253076
9,stage2.0.branch1.4,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.257762,0.02815,0.227973,0.351414,0.239719,0.313319,0,0,1777375764.253509
10,stage2.0.branch2.0,Conv2d,"Conv2d(24, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x24x56x56,1x58x56x56,1392,1392,24,58,1x1,1x1,0x0,1x1,1,False,100,0.664807,0.022996,0.636836,0.771735,0.658191,0.723948,0,0,1777375764.2543924
11,stage2.0.branch2.1,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x56x56,1x58x56x56,116,116,,,,,,,,True,100,0.426035,0.177029,0.364539,2.099784,0.390659,0.490789,0,0,1777375764.2550702
12,stage2.0.branch2.2,ReLU,ReLU(inplace=True),1x58x56x56,1x58x56x56,0,0,,,,,,,,False,100,0.260429,0.031004,0.225994,0.374487,0.249198,0.311777,0,0,1777375764.2556376
13,stage2.0.branch2.3,Conv2d,"Conv2d(58, 58, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=58, bias=False)",1x58x56x56,1x58x28x28,522,522,58,58,3x3,2x2,1x1,1x1,58,False,100,0.413,0.021606,0.356622,0.548397,0.407873,0.438793,0,0,1777375764.2563467
14,stage2.0.branch2.4,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.382455,0.034155,0.349434,0.596107,0.37045,0.425778,0,0,1777375764.2571337
15,stage2.0.branch2.5,Conv2d,"Conv2d(58, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x58x28x28,1x58x28x28,3364,3364,58,58,1x1,1x1,0x0,1x1,1,False,100,0.487413,0.024887,0.458291,0.577356,0.477146,0.53843,0,0,1777375764.2577713
16,stage2.0.branch2.6,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.387528,0.03427,0.349642,0.523293,0.374643,0.457156,0,0,1777375764.258295
17,stage2.0.branch2.7,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.246593,0.023581,0.221202,0.325736,0.233599,0.282262,0,0,1777375764.2586672
18,stage2.1.branch2.0,Conv2d,"Conv2d(58, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x58x28x28,1x58x28x28,3364,3364,58,58,1x1,1x1,0x0,1x1,1,False,100,0.503735,0.033883,0.447092,0.713922,0.501495,0.548145,0,0,1777375764.2599735
19,stage2.1.branch2.1,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.406733,0.029521,0.373654,0.521521,0.391545,0.456075,0,0,1777375764.260494
20,stage2.1.branch2.2,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.255451,0.037049,0.225161,0.522199,0.238755,0.297362,0,0,1777375764.2608635
21,stage2.1.branch2.3,Conv2d,"Conv2d(58, 58, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=58, bias=False)",1x58x28x28,1x58x28x28,522,522,58,58,3x3,1x1,1x1,1x1,58,False,100,0.40769,0.019404,0.359487,0.468187,0.402326,0.438689,0,0,1777375764.2613878
22,stage2.1.branch2.4,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.394465,0.031919,0.358341,0.496937,0.398237,0.44987,0,0,1777375764.2619057
23,stage2.1.branch2.5,Conv2d,"Conv2d(58, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x58x28x28,1x58x28x28,3364,3364,58,58,1x1,1x1,0x0,1x1,1,False,100,0.483241,0.034946,0.458863,0.763402,0.474411,0.544074,0,0,1777375764.2625136
24,stage2.1.branch2.6,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.387937,0.031963,0.35131,0.5035,0.372846,0.447088,0,0,1777375764.263018
25,stage2.1.branch2.7,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.249071,0.024715,0.222244,0.311361,0.234823,0.290341,0,0,1777375764.2633703
26,stage2.2.branch2.0,Conv2d,"Conv2d(58, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x58x28x28,1x58x28x28,3364,3364,58,58,1x1,1x1,0x0,1x1,1,False,100,0.490063,0.018703,0.454229,0.57871,0.486521,0.526729,0,0,1777375764.2646155
27,stage2.2.branch2.1,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.397362,0.02841,0.360164,0.481781,0.384748,0.449093,0,0,1777375764.2651126
28,stage2.2.branch2.2,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.248558,0.02416,0.221775,0.300579,0.233312,0.289805,0,0,1777375764.265474
29,stage2.2.branch2.3,Conv2d,"Conv2d(58, 58, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=58, bias=False)",1x58x28x28,1x58x28x28,522,522,58,58,3x3,1x1,1x1,1x1,58,False,100,0.40856,0.019087,0.362976,0.456156,0.40355,0.44027,0,0,1777375764.2659814
30,stage2.2.branch2.4,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.389497,0.030315,0.352663,0.490063,0.39006,0.43814,0,0,1777375764.266484
31,stage2.2.branch2.5,Conv2d,"Conv2d(58, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x58x28x28,1x58x28x28,3364,3364,58,58,1x1,1x1,0x0,1x1,1,False,100,0.47997,0.033358,0.45277,0.706474,0.468656,0.54772,0,0,1777375764.2670774
32,stage2.2.branch2.6,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.385873,0.028808,0.352976,0.459333,0.371571,0.444666,0,0,1777375764.2675812
33,stage2.2.branch2.7,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.254978,0.04951,0.220005,0.681993,0.243365,0.295506,0,0,1777375764.2680068
34,stage2.3.branch2.0,Conv2d,"Conv2d(58, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x58x28x28,1x58x28x28,3364,3364,58,58,1x1,1x1,0x0,1x1,1,False,100,0.48674,0.023054,0.452874,0.626107,0.480765,0.539631,0,0,1777375764.2691832
35,stage2.3.branch2.1,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.39734,0.038272,0.35881,0.659962,0.384617,0.453822,0,0,1777375764.2696958
36,stage2.3.branch2.2,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.250346,0.025483,0.222817,0.31459,0.238599,0.299059,0,0,1777375764.2700632
37,stage2.3.branch2.3,Conv2d,"Conv2d(58, 58, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=58, bias=False)",1x58x28x28,1x58x28x28,522,522,58,58,3x3,1x1,1x1,1x1,58,False,100,0.409334,0.021995,0.359018,0.51324,0.40704,0.443147,0,0,1777375764.27055
38,stage2.3.branch2.4,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.391909,0.06766,0.355633,1.0145,0.375998,0.436402,0,0,1777375764.271092
39,stage2.3.branch2.5,Conv2d,"Conv2d(58, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x58x28x28,1x58x28x28,3364,3364,58,58,1x1,1x1,0x0,1x1,1,False,100,0.474202,0.032631,0.452197,0.740745,0.466078,0.508066,0,0,1777375764.2717166
40,stage2.3.branch2.6,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.389384,0.035478,0.352091,0.56522,0.376544,0.456291,0,0,1777375764.2722876
41,stage2.3.branch2.7,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.245809,0.024832,0.220005,0.329018,0.230969,0.290675,0,0,1777375764.2726467
42,stage3.0.branch1.0,Conv2d,"Conv2d(116, 116, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=116, bias=False)",1x116x28x28,1x116x14x14,1044,1044,116,116,3x3,2x2,1x1,1x1,116,False,100,0.326965,0.050158,0.291412,0.658712,0.302793,0.403912,0,0,1777375764.2736747
43,stage3.0.branch1.1,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.390432,0.034733,0.350945,0.488968,0.388784,0.454496,0,0,1777375764.274156
44,stage3.0.branch1.2,Conv2d,"Conv2d(116, 116, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x116x14x14,1x116x14x14,13456,13456,116,116,1x1,1x1,0x0,1x1,1,False,100,0.562582,0.051691,0.502198,0.732724,0.542225,0.653097,0,0,1777375764.2748077
45,stage3.0.branch1.3,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.386747,0.029401,0.351153,0.500584,0.371023,0.433541,0,0,1777375764.2753065
46,stage3.0.branch1.4,ReLU,ReLU(inplace=True),1x116x14x14,1x116x14x14,0,0,,,,,,,,False,100,0.249256,0.02474,0.223026,0.305892,0.233026,0.295087,0,0,1777375764.2756622
47,stage3.0.branch2.0,Conv2d,"Conv2d(116, 116, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x116x28x28,1x116x28x28,13456,13456,116,116,1x1,1x1,0x0,1x1,1,False,100,0.815732,0.035239,0.773923,0.962365,0.80533,0.869743,0,0,1777375764.2767193
48,stage3.0.branch2.1,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x28x28,1x116x28x28,232,232,,,,,,,,True,100,0.392241,0.035088,0.360424,0.606106,0.377794,0.430899,0,0,1777375764.2772412
49,stage3.0.branch2.2,ReLU,ReLU(inplace=True),1x116x28x28,1x116x28x28,0,0,,,,,,,,False,100,0.251349,0.029366,0.221932,0.340892,0.233911,0.305878,0,0,1777375764.2776058
50,stage3.0.branch2.3,Conv2d,"Conv2d(116, 116, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=116, bias=False)",1x116x28x28,1x116x14x14,1044,1044,116,116,3x3,2x2,1x1,1x1,116,False,100,0.323836,0.033375,0.286412,0.434228,0.317351,0.390206,0,0,1777375764.2780132
51,stage3.0.branch2.4,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.381952,0.034173,0.344018,0.480478,0.378184,0.456078,0,0,1777375764.2784965
52,stage3.0.branch2.5,Conv2d,"Conv2d(116, 116, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x116x14x14,1x116x14x14,13456,13456,116,116,1x1,1x1,0x0,1x1,1,False,100,0.532161,0.055375,0.472354,0.735328,0.507355,0.6326,0,0,1777375764.2791147
53,stage3.0.branch2.6,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.381932,0.034782,0.348497,0.489073,0.364357,0.468523,0,0,1777375764.279606
54,stage3.0.branch2.7,ReLU,ReLU(inplace=True),1x116x14x14,1x116x14x14,0,0,,,,,,,,False,100,0.25103,0.032434,0.217869,0.412092,0.234562,0.298514,0,0,1777375764.279992
55,stage3.1.branch2.0,Conv2d,"Conv2d(116, 116, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x116x14x14,1x116x14x14,13456,13456,116,116,1x1,1x1,0x0,1x1,1,False,100,0.549803,0.050956,0.49324,0.71564,0.529438,0.628909,0,0,1777375764.2811966
56,stage3.1.branch2.1,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.396813,0.029211,0.364123,0.503292,0.379591,0.447144,0,0,1777375764.2816873
57,stage3.1.branch2.2,ReLU,ReLU(inplace=True),1x116x14x14,1x116x14x14,0,0,,,,,,,,False,100,0.2506,0.031907,0.222973,0.465374,0.233182,0.280647,0,0,1777375764.2820485
58,stage3.1.branch2.3,Conv2d,"Conv2d(116, 116, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=116, bias=False)",1x116x14x14,1x116x14x14,1044,1044,116,116,3x3,1x1,1x1,1x1,116,False,100,0.321114,0.043699,0.283964,0.64767,0.304824,0.379399,0,0,1777375764.2824578
59,stage3.1.branch2.4,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.380959,0.032098,0.346987,0.497719,0.363289,0.439024,0,0,1777375764.282942
